"Scientific_Name","Treatment","Pmax","Alpha","Ik"
"Additional Sp","Light",17.3,0.06,286.414
"Codium elatum","Light",28.7,0.096,298.087
"Colpomenia sinuosa","Dark",32.8,0.121,271.155
"Colpomenia sinuosa","Light",30.4,0.092,332.101
"Cystoseira spp.","Light",16.8,0.064,261.827
"Dictyota dichotoma","Dark",14.8,0.06,248.099
"Dictyota dichotoma","Light",6.9,0.023,293.95
"Galaxaura rugosa","Dark",18.5,0.071,260.399
"Galaxaura rugosa","Light",42.4,0.135,313.747
"Halopteris scoparia","Dark",17.2,0.063,273.104
"Halopteris scoparia","Light",14.9,0.057,262.02
"Hypnea musciformis","Light",8.8,0.03,297.21
"Jania rubens","Dark",8.3,0.033,248.946
"Jania rubens","Light",23.5,0.088,266.008
"Nemalion helminthoides","Light",16.5,0.065,254.651
"Padina pavonica","Dark",37.9,0.139,273.06
"Padina pavonica","Light",29.6,0.096,307.721
"Sargassum vulgare","Dark",7,0.022,317.669
"Sargassum vulgare","Light",3.9,-0.006,-621.123
"Ulva lactuca","Dark",8.3,0.029,281.552
"Ulva lactuca","Light",9.5,0.036,262.561
